Application_number,Country,SOP,PS,LOR,GRE,Research,IELTS,Experience,Admit
192062,INT,4.2,3.9,3.2,293,1,0,2,1
151648,USA,3.3,1.1,2.4,275,1,0,1,0
175110,USA,1.8,2.4,1.8,280,0,0,2,1
120907,INT,2.8,4.6,3.5,280,1,0,2,1
168563,INT,3.0,2.5,3.1,317,1,0,2,1
192210,USA,3.6,1.4,4.3,290,0,1,2,0
185563,INT,4.9,1.2,4.9,279,0,1,2,1
147319,USA,2.6,4.7,3.7,275,0,0,1,1
115104,USA,2.4,3.8,2.4,308,0,0,2,0
162657,USA,2.6,2.4,1.9,274,1,0,2,1
143459,USA,4.4,4.5,3.3,281,1,1,1,0
152404,INT,4.6,2.5,3.3,322,0,0,1,0
189385,USA,2.4,3.6,1.8,284,1,0,1,0
183921,INT,4.6,1.2,3.0,293,0,1,1,1
131945,INT,4.3,1.9,1.9,271,0,0,1,0
105051,USA,1.8,4.4,4.3,332,0,1,2,0
115629,INT,2.8,1.8,2.4,315,1,1,2,0
103456,INT,4.4,4.9,1.6,265,0,0,2,1
165220,INT,2.3,2.8,1.9,277,0,0,2,0
125205,USA,4.2,2.9,4.2,339,1,0,1,0
135446,INT,4.4,2.6,1.8,299,0,0,1,0
128985,USA,3.5,3.1,1.9,322,0,1,1,0
184253,USA,2.5,3.5,4.8,283,0,1,1,0
145014,USA,4.7,2.5,3.5,297,1,0,1,1
129026,INT,3.4,4.2,4.7,290,1,0,1,0
105526,INT,3.4,3.3,1.5,306,1,1,2,1
141865,INT,2.5,4.0,4.2,311,1,0,1,0
145102,USA,4.4,3.1,3.8,264,1,1,2,0
124463,INT,2.4,2.8,3.3,286,0,0,2,1
129942,INT,4.5,1.2,1.2,268,1,0,1,0
168705,USA,3.5,5.0,4.2,322,0,0,1,1
146864,INT,2.1,4.7,1.7,288,1,0,1,1
175682,USA,2.0,1.4,4.0,264,1,1,2,1
172316,USA,2.5,4.3,4.4,298,1,1,1,0
103891,INT,1.4,3.5,3.8,282,0,0,2,0
144595,USA,3.5,1.4,3.9,304,1,0,1,1
133823,INT,4.9,2.3,2.1,331,0,1,1,1
110927,INT,1.5,4.2,1.8,320,1,1,2,1
152847,INT,1.4,1.1,2.9,273,0,1,2,0
175587,INT,3.6,1.2,3.8,263,1,0,2,1
191361,USA,2.3,4.1,1.1,269,0,1,2,0
193106,USA,2.9,3.5,3.4,266,1,0,2,1
155887,INT,2.9,4.7,2.1,290,1,1,2,1
106132,INT,4.2,4.7,3.4,273,0,1,1,0
176946,USA,2.1,4.1,3.3,286,0,0,1,1
114085,INT,4.8,4.2,4.1,305,0,0,2,1
121258,USA,2.7,1.4,3.4,339,0,1,1,0
107342,INT,1.6,4.1,2.1,307,1,1,1,0
191543,USA,3.4,4.7,1.9,339,0,0,2,1
175872,INT,1.1,2.4,3.0,302,0,1,2,0
153550,USA,2.1,2.3,1.8,319,0,0,1,1
198144,USA,4.3,3.4,1.8,333,0,0,2,1
123919,USA,3.8,2.8,1.6,296,1,1,1,0
121199,INT,1.5,1.1,1.0,273,0,1,2,0
180111,INT,1.9,4.3,3.4,301,0,1,2,1
153042,USA,4.0,4.1,1.2,286,0,0,2,1
129617,INT,2.6,4.4,3.1,297,1,0,2,1
162394,USA,1.3,4.9,2.3,312,0,0,1,0
193826,INT,1.9,1.1,3.4,325,1,0,1,0
103588,INT,4.6,3.1,3.3,317,1,0,1,1
164323,USA,1.3,1.5,4.9,338,0,1,1,1
178981,INT,4.8,1.3,3.2,300,1,0,2,0
181679,USA,2.1,2.8,3.6,266,0,1,2,0
179228,INT,4.2,2.6,1.0,260,0,1,2,1
175669,USA,2.2,1.3,2.5,337,1,0,1,1
169018,USA,4.7,4.9,3.9,298,0,0,1,1
148638,USA,3.8,2.7,1.8,301,0,0,2,1
157465,INT,4.2,1.1,2.8,299,1,1,1,1
191490,USA,3.1,2.3,3.3,270,0,1,2,0
127460,USA,1.1,2.8,4.3,339,1,0,1,0
130362,INT,2.0,2.8,3.0,260,1,1,2,0
120591,USA,1.9,3.3,1.4,289,1,1,2,0
135638,INT,1.2,1.6,5.0,327,1,1,1,1
105706,INT,4.2,2.9,2.0,313,0,0,1,0
196838,USA,4.0,2.9,4.7,297,1,0,1,0
168909,INT,4.3,4.5,4.7,323,1,1,2,0
158469,INT,1.2,1.9,2.6,312,1,1,1,1
127982,INT,1.2,2.9,3.5,280,0,1,1,0
193373,INT,2.1,3.4,4.5,296,0,0,1,0
134935,USA,3.0,2.9,3.3,288,1,0,2,0
136806,USA,1.6,1.6,2.5,290,1,0,1,1
129625,INT,1.7,2.1,2.1,274,0,1,1,1
116652,USA,4.5,4.4,4.6,314,0,1,1,1
152835,USA,1.3,2.6,3.7,319,0,0,1,1
111969,INT,3.2,4.8,1.5,287,1,1,2,0
175332,INT,3.4,4.6,1.8,295,1,0,1,0
194754,USA,2.5,3.2,4.7,307,1,1,2,0
140137,INT,3.2,3.3,1.1,266,1,1,1,1
177746,INT,1.5,3.5,1.2,311,1,1,2,0
164475,INT,4.3,3.3,1.7,301,0,1,2,0
127218,USA,1.1,2.8,3.6,333,1,0,2,1
102699,INT,3.9,4.7,1.9,311,0,0,1,1
131531,USA,3.1,1.9,1.7,306,1,1,2,0
197184,INT,4.3,1.1,4.1,321,0,1,1,0
198071,INT,2.9,4.1,2.6,316,0,0,2,0
186101,USA,2.2,1.3,4.3,311,0,0,2,1
125197,USA,2.6,3.4,3.6,334,1,1,2,0
145305,USA,4.5,3.5,3.8,318,0,0,2,0
128692,USA,1.0,4.5,2.7,327,0,1,1,1
112312,USA,4.7,3.1,3.3,317,0,0,1,0
199073,USA,4.5,4.2,1.5,312,1,0,1,1
101584,INT,2.9,2.0,4.2,326,0,0,1,0
147659,USA,3.1,1.7,4.3,285,0,1,2,0
122982,USA,1.8,4.3,4.3,323,1,0,1,0
154509,INT,2.3,4.2,3.2,278,1,0,2,1
145479,INT,3.4,3.7,3.2,332,0,0,2,0
164699,USA,3.3,4.0,4.5,336,0,0,2,1
121514,INT,1.7,2.1,4.6,319,0,0,2,0
161130,USA,3.8,1.4,4.4,334,1,0,2,1
152407,USA,3.9,4.8,1.2,293,0,1,1,1
138114,INT,1.5,2.5,1.9,276,0,0,2,0
142641,USA,4.8,1.6,2.5,296,0,0,2,1
112881,INT,1.3,1.8,3.1,284,1,1,2,1
164373,USA,4.2,1.6,3.8,281,0,0,2,1
194209,INT,3.8,3.2,3.8,312,0,1,1,1
105886,USA,3.9,2.2,4.3,314,0,1,2,0
180171,INT,4.8,4.9,1.1,309,0,1,1,1
140589,USA,1.1,2.9,2.8,274,1,1,1,1
182849,INT,1.3,2.6,1.9,304,0,1,2,0
191129,USA,3.1,2.6,3.4,317,0,0,1,0
113115,USA,4.2,3.3,2.4,332,1,1,2,1
100704,INT,2.6,2.3,1.3,282,0,0,1,1
143980,USA,1.4,2.5,5.0,260,0,1,2,0
142440,USA,3.9,1.5,4.4,280,1,0,2,1
194624,USA,2.9,3.9,4.4,332,1,1,2,1
126653,INT,3.1,1.5,1.4,280,0,1,1,0
106940,USA,4.9,1.0,2.9,313,1,0,1,1
195582,USA,2.3,4.3,4.1,321,0,0,2,1
148682,USA,1.7,1.6,3.9,271,0,0,2,0
198009,INT,1.9,1.1,2.0,325,1,0,1,0
181200,USA,3.2,4.9,1.1,323,0,1,2,0
135286,INT,3.0,1.6,3.4,335,1,0,2,0
114941,USA,3.2,4.0,4.0,322,0,0,1,1
115292,INT,2.9,3.3,2.3,329,1,0,2,1
179221,INT,3.7,1.3,3.7,304,1,0,2,1
188593,USA,1.1,3.5,2.8,325,0,1,2,0
102544,INT,1.5,3.7,1.9,314,0,1,1,1
103298,INT,1.3,3.3,4.1,287,0,0,1,0
172164,USA,4.0,4.6,2.2,260,0,1,1,1
160166,USA,4.5,1.6,2.5,301,0,1,1,0
114815,INT,1.6,4.0,2.6,323,0,1,2,0
111517,USA,1.4,1.1,2.0,279,0,0,2,1
196627,INT,1.4,3.5,4.3,288,1,1,1,0
164299,INT,4.5,1.9,2.6,312,0,0,1,1
185475,INT,4.8,2.8,4.0,337,1,0,1,0
144850,USA,2.5,4.4,3.5,319,1,0,2,1
153839,USA,4.9,4.5,1.4,316,0,0,2,1
156792,INT,3.7,3.3,2.2,330,1,1,1,1
128580,INT,4.0,2.0,4.7,336,0,1,2,0
125416,USA,3.4,3.7,2.7,311,1,0,1,0
101780,USA,1.1,2.8,1.9,327,1,0,1,0
172365,USA,2.3,3.3,1.1,309,1,0,2,1
186815,INT,1.7,3.4,2.4,287,0,1,1,0
129733,USA,1.9,1.5,4.3,275,1,1,1,1
189969,USA,1.2,4.8,4.0,277,1,0,2,1
168804,USA,1.6,1.1,2.5,284,0,1,2,0
179489,USA,1.9,4.1,3.6,275,1,0,1,1
153310,USA,2.0,4.3,3.7,296,0,0,1,0
100046,USA,4.4,1.7,2.6,311,0,0,2,1
174987,USA,3.5,4.4,1.0,272,1,1,1,0
175950,USA,1.3,1.8,1.0,335,1,1,2,1
170229,INT,4.8,4.6,2.8,319,0,1,2,0
187121,USA,3.6,1.5,1.7,291,0,1,1,1
172788,USA,3.6,1.8,3.1,336,0,0,2,1
134081,INT,3.3,3.0,2.6,328,0,0,1,0
153911,USA,4.3,4.6,1.1,266,1,1,1,1
151556,INT,2.2,3.9,4.0,263,1,1,1,1
145653,INT,4.4,4.3,2.3,271,0,0,2,0
161407,INT,2.2,2.4,1.4,260,1,0,2,1
189613,USA,1.1,4.1,1.0,302,1,0,1,0
128153,INT,4.6,1.1,2.5,315,1,0,2,0
186203,INT,3.0,1.1,3.5,337,0,0,2,1
153748,INT,1.4,3.2,2.6,325,0,1,1,0
152934,INT,2.2,4.8,2.7,264,0,1,1,0
165007,INT,1.9,4.5,2.9,332,0,0,1,1
155205,INT,3.4,4.7,1.5,331,0,1,1,1
186472,USA,3.1,1.3,3.0,305,1,0,2,0
149169,INT,3.8,3.1,4.9,328,1,0,2,0
155404,INT,2.9,2.0,2.5,312,1,1,1,0
189043,USA,2.5,3.2,4.2,272,0,0,1,1
116668,USA,1.4,2.9,4.1,260,1,1,1,0
167059,INT,4.6,2.5,3.1,279,1,1,1,0
197771,USA,2.5,4.8,1.9,285,1,1,1,0
111825,USA,1.4,3.7,4.7,288,0,1,2,0
149921,INT,1.3,3.0,1.0,336,0,1,1,0
158577,USA,2.9,3.5,3.8,333,1,0,2,1
189722,INT,4.7,4.0,3.6,311,1,1,1,1
170014,USA,3.7,2.8,3.4,311,0,0,1,1
165394,INT,2.0,3.0,1.7,281,0,1,2,0
147635,USA,3.9,4.1,4.1,333,0,1,1,0
177400,USA,5.0,3.4,3.0,269,1,0,2,0
130961,INT,3.8,2.4,3.0,331,0,0,2,0
110745,USA,3.7,3.4,4.8,328,0,0,1,1
134161,INT,3.6,4.7,2.4,290,1,1,2,0
179155,USA,1.8,4.0,3.0,339,0,1,1,1
118638,USA,2.5,3.4,1.4,337,0,1,1,0
188032,USA,1.3,4.9,4.2,272,0,0,1,0
113713,INT,4.6,2.2,1.4,325,1,1,1,0
116850,INT,1.5,1.1,1.2,271,0,1,1,0
110467,USA,1.6,4.1,4.2,304,0,0,1,1
184607,USA,4.2,1.9,2.3,307,0,1,2,1
179922,INT,2.9,3.7,4.7,297,1,0,2,0
174901,INT,3.5,4.4,1.8,293,1,0,1,0
191606,USA,3.5,2.1,2.0,289,1,0,1,0
123772,USA,1.5,4.6,1.4,339,0,0,2,0
111888,INT,2.9,3.1,1.5,333,0,0,1,0
139224,INT,1.4,1.3,3.5,338,0,1,1,0
110475,INT,3.9,2.2,2.0,263,0,0,2,1
105867,INT,1.7,3.9,4.2,312,0,1,1,0
110022,USA,4.5,3.5,1.4,303,0,1,2,0
109188,INT,3.3,2.7,4.5,295,1,0,2,0
112209,USA,4.0,1.7,2.0,339,0,0,1,1
161561,INT,4.6,2.7,2.1,319,0,1,1,1
153758,INT,2.9,1.3,2.4,327,1,0,1,1
108581,INT,1.2,2.8,2.9,281,1,1,1,1
194176,INT,1.5,3.8,3.0,276,0,1,2,0
139897,INT,4.2,4.3,4.2,288,0,0,1,0
156026,INT,4.6,3.1,2.6,266,1,1,2,0
138712,USA,4.3,4.6,4.1,302,1,1,1,1
121452,USA,3.7,3.2,4.7,307,1,0,2,1
161729,INT,1.6,3.2,4.3,281,0,1,1,1
162010,USA,2.7,4.8,3.3,281,0,1,2,1
112051,INT,3.2,4.9,3.0,268,0,0,1,1
186198,INT,1.6,2.0,3.7,307,0,0,1,0
127048,USA,3.7,3.4,1.7,313,0,1,2,1
116989,USA,3.4,4.1,2.4,274,1,0,2,1
192816,USA,1.5,3.8,3.5,330,0,1,2,1
187495,USA,1.3,1.1,1.4,271,0,1,1,1
133922,INT,2.4,3.8,4.7,267,0,0,2,1
117839,INT,1.7,1.9,3.2,269,1,1,2,1
136600,USA,2.3,4.6,3.0,323,1,0,2,1
120317,USA,1.3,3.7,1.3,336,1,1,2,0
117856,USA,4.2,3.1,2.5,314,0,1,2,1
121148,USA,4.3,1.5,2.6,336,1,0,1,1
142535,USA,1.6,4.0,1.8,286,1,0,1,1
152213,USA,2.9,1.9,1.3,326,0,1,1,1
123980,INT,4.0,1.4,3.2,301,0,0,1,0
189272,INT,3.8,4.3,4.3,308,1,1,1,0
162095,INT,3.6,3.3,1.6,265,1,0,2,1
185761,INT,2.0,3.5,2.3,288,0,0,1,1
139153,USA,2.0,4.5,3.3,338,0,0,1,1
114042,USA,1.9,4.8,3.7,333,0,1,1,1
182122,INT,3.4,1.3,3.1,315,0,1,2,1
170675,USA,1.3,2.0,3.0,306,0,0,2,1
186078,USA,1.4,3.3,4.5,314,0,0,1,1
109304,INT,3.6,4.6,1.6,318,0,1,1,1
188453,INT,4.4,3.4,2.6,284,0,0,2,0
108129,INT,3.2,3.1,3.1,272,0,0,2,1
129683,INT,1.7,3.1,2.5,332,1,1,2,1
127801,USA,3.4,1.9,3.1,299,1,1,1,1
165636,INT,3.5,3.9,2.8,327,1,1,2,0
198427,INT,3.5,3.8,1.1,334,1,0,1,0
100142,USA,1.9,2.4,4.7,336,1,0,2,1
167293,USA,2.4,3.9,3.6,316,0,0,2,1
116889,USA,1.8,2.4,3.2,260,1,1,1,0
116360,USA,3.9,2.5,2.7,283,0,0,1,0
142107,INT,4.8,1.1,4.8,296,1,1,2,1
152117,USA,1.8,4.8,3.9,288,0,1,2,1
129919,USA,1.4,1.0,1.6,284,0,1,1,1
100517,USA,4.1,1.1,2.4,291,0,0,1,1
189321,USA,1.4,3.3,2.5,318,0,0,2,1
111189,USA,1.2,3.9,1.4,311,1,0,2,0
118576,INT,3.2,3.8,1.9,292,0,0,1,1
186529,INT,2.8,1.8,3.7,330,1,1,1,1
103363,INT,3.1,4.3,1.1,305,1,0,1,1
178435,USA,2.4,1.0,2.0,330,1,0,2,1
102543,INT,3.9,2.7,4.6,264,1,0,1,0
138154,INT,3.0,2.2,2.8,295,1,0,2,1
136536,INT,3.6,1.9,1.5,311,0,0,1,1
178475,INT,1.1,3.7,1.3,324,1,1,2,1
144964,USA,4.1,2.3,3.0,317,1,1,2,1
170568,USA,2.1,3.1,2.7,308,1,1,2,0
153152,USA,1.3,2.5,4.1,326,1,0,2,1
161983,USA,1.8,3.8,4.7,330,1,1,2,1
198118,USA,3.2,4.9,4.0,306,0,1,1,0
140376,INT,1.0,2.8,2.1,310,0,1,1,1
156297,INT,3.7,4.7,3.3,260,0,0,1,0
110844,INT,2.7,2.0,2.2,302,1,0,1,0
176406,USA,2.1,3.9,1.7,274,0,1,2,1
179251,USA,4.2,4.4,2.7,299,0,0,1,1
127141,USA,2.2,4.3,2.3,336,1,0,1,0
159204,INT,3.5,1.5,3.5,326,1,1,2,1
135460,USA,3.0,1.5,4.2,287,0,0,2,0
180102,INT,2.6,4.1,3.0,292,1,0,1,1
128260,USA,4.3,2.5,4.7,284,1,1,2,1
170969,INT,4.6,1.6,1.6,331,1,0,2,0
184176,USA,2.5,4.7,2.2,297,1,1,1,1
163240,INT,1.2,3.6,4.1,320,1,0,1,0
192715,USA,3.5,3.4,2.1,339,1,1,1,1
173094,INT,2.9,1.2,4.4,298,1,0,1,0
123097,INT,3.8,1.7,4.6,285,0,1,1,0
172349,INT,4.9,1.4,1.7,301,0,0,2,1
119294,INT,2.5,3.4,2.8,283,1,0,2,1
108008,INT,4.2,1.1,4.0,290,0,0,1,1
154583,USA,1.7,2.6,1.4,271,0,0,1,1
157609,INT,2.7,2.5,3.6,328,1,1,1,1
160108,INT,1.8,2.8,4.8,282,0,0,1,1
148244,INT,4.7,4.1,1.4,272,0,0,1,0
108194,USA,1.2,4.0,3.9,281,0,1,2,0
182933,INT,2.5,4.7,2.4,289,1,0,2,0
182871,INT,4.8,1.4,3.6,274,1,0,1,0
133617,INT,4.8,3.6,2.0,268,1,1,2,1
167594,INT,1.8,4.9,1.9,333,0,0,2,1
134831,INT,4.9,3.5,2.7,300,1,0,1,0
110621,INT,2.4,4.4,1.9,319,0,0,1,1
132122,INT,2.4,1.6,3.8,312,0,1,2,1
183185,INT,3.1,4.5,4.8,336,1,0,1,1
156821,USA,2.5,2.2,4.3,275,0,1,1,1
114986,INT,4.3,3.4,4.3,335,0,0,2,0
133868,USA,3.9,1.6,3.6,281,1,0,2,1
114933,INT,2.6,1.7,3.0,267,0,0,2,0
123104,INT,2.9,4.4,4.0,325,0,0,1,0
165133,USA,3.4,2.3,1.5,325,0,1,2,1
146524,USA,4.0,4.7,2.3,273,0,1,1,0
100015,USA,2.5,1.6,2.8,300,0,1,1,0
121513,USA,2.8,1.6,2.1,337,1,0,2,0
152203,USA,1.4,4.0,4.6,337,0,1,1,1
109097,USA,2.1,1.0,2.3,278,0,0,2,0
128905,USA,1.1,2.9,2.3,286,0,1,2,1
117187,USA,1.1,1.2,2.3,278,0,0,2,0
188307,INT,4.4,2.9,1.9,307,1,0,1,1
104561,INT,1.4,2.0,1.6,308,0,0,1,1
189050,USA,2.8,4.7,1.5,303,1,1,2,1
184619,USA,4.0,4.1,3.3,309,1,1,1,1
159449,INT,2.7,3.8,1.5,266,1,1,2,1
142507,USA,3.0,3.7,3.5,274,1,0,1,0
106050,USA,4.2,2.6,4.1,304,1,0,1,0
171615,USA,2.6,1.6,3.1,302,1,0,2,0
183893,USA,1.5,1.7,2.5,311,0,1,1,0
159556,INT,3.4,4.9,3.2,315,0,0,2,1
177753,INT,1.3,3.6,1.2,302,0,0,2,1
158663,INT,2.3,1.5,2.8,271,0,0,1,1
196027,INT,2.9,4.7,3.0,332,1,0,1,1
135334,USA,2.1,3.2,4.8,314,0,0,2,1
174159,USA,3.4,2.7,4.8,313,0,0,2,0
175014,USA,2.7,3.9,5.0,298,0,0,2,1
129543,USA,1.3,3.8,3.0,316,0,1,1,1
192454,INT,3.1,1.1,1.6,319,1,0,1,0
130810,INT,1.7,4.9,3.7,265,0,0,2,0
146131,USA,1.5,2.2,3.1,321,1,0,1,0
170239,INT,2.1,3.6,4.3,286,1,1,1,0
103587,USA,4.5,2.3,4.5,269,0,0,1,0
119124,INT,3.1,3.8,3.5,275,1,0,1,1
195788,INT,3.3,1.1,3.1,299,1,0,1,1
102255,INT,4.4,4.8,3.4,333,1,1,1,0
192542,INT,4.2,1.9,4.9,312,1,1,2,1
135769,USA,1.2,3.1,3.4,318,1,1,2,1
187314,INT,3.5,4.5,2.6,312,0,0,1,1
145405,USA,3.2,1.0,3.0,289,0,0,1,1
180432,INT,3.8,1.4,4.4,327,1,0,2,0
106184,USA,1.2,2.2,4.6,263,1,0,1,0
118679,INT,3.6,4.4,3.3,288,0,0,2,1
130119,INT,1.7,1.1,2.1,297,1,0,2,1
163824,INT,1.4,2.3,1.9,270,1,0,1,1
104723,INT,4.8,4.7,1.4,314,1,0,2,0
164621,INT,1.1,1.7,2.9,321,1,1,2,1
167721,USA,3.2,4.4,1.4,329,1,1,1,1
176502,INT,1.0,4.8,1.0,337,1,1,1,1
139053,INT,3.9,5.0,1.2,302,1,0,1,1
148576,USA,1.8,2.3,2.4,294,1,0,1,1
119830,INT,2.0,2.4,4.7,331,1,1,2,1
173568,INT,2.9,3.7,4.1,305,0,0,1,1
150477,USA,3.5,2.2,4.4,284,1,0,2,0
190622,INT,1.3,2.0,2.1,282,1,1,1,0
118772,INT,1.6,3.8,3.4,283,0,1,2,0
178921,USA,4.2,5.0,3.3,292,1,1,2,0
139831,INT,4.6,3.3,4.9,299,0,1,2,1
194084,INT,4.3,4.1,2.2,265,1,0,1,1
163184,USA,4.6,3.0,4.9,339,1,1,1,0
103952,INT,4.0,2.3,2.7,295,0,1,2,1
135995,INT,3.3,2.5,2.2,260,1,0,1,1
171300,INT,5.0,3.8,3.6,269,1,0,2,0
128417,INT,3.2,3.9,1.6,307,1,1,2,0
161641,INT,4.6,4.1,3.6,336,1,1,1,0
188100,USA,3.3,4.5,5.0,266,1,0,1,0
167303,USA,1.1,2.7,3.4,316,0,1,2,1
143993,INT,1.8,3.4,3.1,268,0,0,1,0
187283,USA,3.3,4.0,3.9,267,0,0,2,1
188708,USA,4.9,3.0,4.3,322,0,1,1,1
170100,INT,4.6,2.2,1.1,337,1,1,2,0
193659,INT,4.1,1.5,3.0,312,1,1,1,0
136035,USA,1.5,3.4,3.1,289,0,1,2,1
127795,USA,2.5,1.8,3.0,305,0,1,1,1
149758,INT,3.7,4.4,1.6,329,1,1,2,1
112550,INT,3.8,4.7,4.0,313,1,1,1,1
103120,USA,1.1,1.5,3.9,293,0,1,2,1
123264,USA,4.0,1.4,3.3,266,0,1,2,0
128664,INT,4.8,3.0,4.8,315,0,1,2,0
159193,INT,3.1,1.2,3.4,307,0,0,2,1
114453,USA,3.2,3.2,2.5,295,1,1,2,0
117921,INT,4.6,3.5,3.7,300,0,0,2,1
119482,USA,4.7,1.2,2.8,270,1,0,2,1
158408,INT,1.0,1.6,4.1,316,1,0,2,0
184027,INT,4.6,2.6,3.2,305,1,1,2,0
153023,USA,1.1,4.1,4.8,300,1,1,2,1
180905,USA,2.9,3.2,2.5,308,0,0,1,1
168291,INT,4.7,3.7,3.1,278,1,0,2,1
146185,USA,3.1,1.9,4.4,331,1,0,1,1
154282,USA,4.9,4.1,1.7,263,1,1,2,0
155869,USA,1.4,2.0,3.6,264,1,1,1,0
151914,USA,2.5,2.2,4.4,317,0,1,2,1
110564,INT,1.5,3.1,3.5,262,0,1,2,1
148308,INT,2.3,1.6,2.8,324,1,1,2,1
109176,INT,3.1,4.3,4.9,270,1,1,2,1
170649,USA,4.4,4.2,4.4,311,1,0,2,0
135090,USA,2.8,3.4,3.6,300,1,0,1,0
104884,USA,3.5,2.8,1.6,296,1,1,2,0
177066,INT,2.3,3.1,3.1,280,0,0,1,0
191309,INT,2.1,3.4,4.3,267,0,0,1,0
149933,USA,5.0,2.9,1.6,272,0,1,1,0
147846,USA,3.0,3.2,4.1,321,1,1,2,0
126405,USA,2.0,3.2,3.0,314,0,0,2,1
103192,USA,4.5,2.4,1.4,339,1,1,1,1
126292,USA,3.6,3.8,1.1,333,1,1,2,0
159062,USA,1.5,3.1,3.3,333,0,1,1,1
128013,INT,4.6,1.9,1.4,263,1,1,2,0
137075,INT,2.5,3.9,3.0,317,0,0,1,0
160449,USA,1.8,4.1,2.3,264,1,0,1,0
181127,USA,2.4,3.9,2.0,263,0,1,1,1
177116,USA,4.5,1.2,1.4,264,0,0,2,1
143990,USA,2.4,1.2,1.9,328,0,1,1,0
185157,USA,1.4,2.3,3.9,310,0,1,1,0
173371,USA,2.8,3.6,3.1,265,0,1,1,0
136164,USA,2.9,2.1,1.4,324,0,0,1,1
157203,USA,3.5,2.5,2.4,333,0,1,1,1
195604,INT,4.8,4.1,4.4,279,0,0,2,0
136508,USA,1.9,4.0,1.7,270,1,0,1,1
116478,USA,3.9,2.5,1.8,303,0,1,1,1
148851,USA,2.4,1.8,1.6,325,0,1,2,1
145221,INT,2.8,2.9,1.3,308,0,0,2,0
122048,INT,1.2,4.7,4.0,322,1,0,1,1
146822,INT,4.3,4.0,1.7,327,0,0,2,1
155244,INT,4.5,3.9,4.4,297,1,1,1,1
175586,USA,2.2,2.2,3.4,284,1,1,1,0
170844,USA,3.8,4.0,1.6,316,1,0,2,1
144379,USA,4.4,1.4,4.9,278,0,1,1,1
154178,INT,3.1,2.5,1.1,331,1,1,1,1
160438,USA,1.0,4.1,4.5,268,0,1,2,0
113829,USA,1.2,3.8,2.9,324,1,0,1,1
119018,INT,2.7,2.0,4.2,332,1,1,2,1
177575,USA,1.4,1.9,3.9,275,0,0,1,0
154186,USA,4.4,3.9,2.1,330,1,1,1,0
123805,USA,4.2,2.1,4.9,297,0,0,2,1
178601,INT,2.0,4.0,2.7,322,0,0,1,1
146113,USA,2.8,3.1,4.0,305,0,1,2,0
189097,INT,4.4,2.4,3.4,301,1,1,1,0
102545,INT,4.5,3.1,3.8,265,0,0,2,1
101579,INT,2.7,1.3,2.7,266,0,1,1,0
190653,INT,3.8,3.0,2.3,337,1,0,2,1
112480,INT,2.4,3.4,2.6,280,1,1,2,0
190504,INT,4.1,2.5,1.6,338,0,0,2,0
171287,INT,1.9,3.0,4.8,329,0,1,1,0
162116,INT,4.2,2.0,3.4,316,1,1,2,0
125133,INT,4.5,1.8,1.4,277,1,1,1,1
177877,USA,3.0,3.5,3.3,273,0,1,2,1
178991,USA,1.0,3.2,1.8,287,0,1,2,1
123552,INT,4.9,4.9,1.5,316,1,0,2,0
152186,USA,3.7,4.5,1.3,267,1,1,1,0
197585,INT,1.3,1.9,2.4,332,0,1,1,1
183966,INT,1.1,2.3,2.7,332,1,0,1,0
176879,INT,4.4,2.9,1.4,262,0,1,1,1
107149,INT,3.8,3.6,2.6,315,0,0,2,1
186617,INT,3.1,3.1,2.6,262,0,1,2,0
149630,USA,4.2,1.1,1.3,310,0,0,1,0
181831,INT,3.3,1.4,2.3,274,0,0,1,1
136510,INT,3.2,1.1,4.6,314,1,0,2,1
175614,INT,3.2,3.4,1.9,325,1,0,2,0
182872,USA,2.6,2.6,1.4,275,0,1,1,1
182655,USA,1.1,4.4,1.9,274,1,0,2,1
195793,INT,3.3,2.9,3.4,281,1,0,1,1
131030,INT,4.1,5.0,3.2,316,1,1,2,1
128576,INT,1.2,1.2,3.5,263,0,1,2,0
185023,INT,4.3,3.0,1.4,318,1,1,2,1
135709,INT,2.2,1.5,1.7,326,1,0,2,1
122554,USA,2.5,4.4,4.9,279,1,1,1,1
186649,INT,4.3,3.4,2.5,288,0,0,1,0
181247,USA,2.4,1.8,3.4,290,0,1,2,0
183269,INT,4.7,2.6,1.8,308,0,0,2,1
152232,INT,2.4,1.0,2.1,310,0,0,2,1
122565,USA,2.0,4.1,1.2,301,1,1,1,1
198611,INT,2.0,2.7,2.7,294,1,1,1,1
147860,USA,2.5,2.0,2.7,285,1,1,1,1
146467,INT,2.3,4.0,4.9,319,0,0,1,0
150453,USA,5.0,1.7,2.2,334,1,0,1,1
185703,USA,2.0,3.8,2.7,318,1,0,1,0
165384,INT,1.5,1.4,1.5,307,0,0,1,0
121533,INT,4.6,2.2,3.3,299,0,1,2,1
160347,USA,4.1,1.4,3.0,325,1,0,2,1
104746,INT,3.7,3.0,3.8,306,1,1,2,0
170448,USA,1.5,4.1,4.8,328,0,0,1,1
111076,USA,4.4,4.8,3.4,323,1,0,2,0
172383,INT,2.7,3.8,3.1,265,0,0,1,1
119329,USA,2.7,3.4,3.7,326,1,0,1,0
147227,INT,4.5,2.3,3.4,334,1,1,1,0
124624,USA,4.2,2.4,1.9,316,0,1,1,1
196016,INT,3.1,3.5,2.3,290,1,1,2,1
154059,INT,2.3,2.7,4.6,298,1,0,2,0
102128,USA,2.0,1.7,4.2,336,1,1,1,0
